ID_LINEA;CLASE;NPS;SERVICIO;TIPO MATERIAL;PLANO_CODELCO;MTS;FROM;TO;TEMP_DISEÑO_C;PRESION_DISEÑO_KG;TIPO PRUEBA;ESQUEMA;RAL;REVESTIMIENTO INTERIOR;AISLACION;OBSERVACIONES
"03351-IA-1""-G1-0105-N";G1;2;IA;AG;4600022667-001-03350-502CA-00057;3,3;"03351-IA-2""-G1-0100-N";03351-TCN-007;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-1""-G1-0106-N";G1;2;IA;AG;4600022667-001-03350-502CA-00058;0,84;"03351-IA-2""-G1-0100-N";03351-TCN-013;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-1""-G1-0107-N";G1;2;IA;AG;4600022667-001-03350-502CA-00059;11,1;"03351-IA-2""-G1-0100-N";03351-TCN-002;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-1""-G1-0108-N";G1;2;IA;AG;4600022667-001-03350-502CA-00060;9,672;"03351-IA-2""-G1-0100-N";03351-TCN-003;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-1""-G1-0109-N";G1;2;IA;AG;4600022667-001-03350-502CA-00061;8,9;"03351-IA-2""-G1-0100-N";03351-TCN-004;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-1""-G1-0111-N";G1;2;IA;AG;4600022667-001-03350-502CA-00062;4,291;"03351-IA-2""-G1-0100-N";03351-TCN-001;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-2""-G1-0100-N";G1;8;IA;AG;4600022667-001-03350-502CA-00063;81,892;TIE-IN 03351-005;DISTRIBUCION AIRE INSTRUMENTO MANIFOLD;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-2""-G1-0101-N";G1;2;IA;AG;4600022667-001-03350-502CA-00064;16,34;"03351-IA-2""-G1-0100-N";03351-TCN-012;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-2""-G1-0110-N";G1;2;IA;AG;4600022667-001-03350-502CA-00065;28;"03351-IA-2""-G1-0112-N";03351-TCN-014;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-IA-2""-G1-0112-N";G1;8;IA;AG;4600022667-001-03350-502CA-00066;87,34;TIE-IN 03351-006;03351-TCN-010;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0014-N";C1;2;PW;CS;4600022667-001-03350-502CA-00067;7,488;"03351-PW-6""-C1-0013-N";03351-CAJ-002;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0024-N";C1;2;PW;CS;4600022667-001-03350-502CA-00068;1,001;"03351-PW-6""-C1-0013-N";"03351-CT-6""-C3-0018-R3";38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0025-N";C1;2;PW;CS;4600022667-001-03350-502CA-00069;23,68;"03351-PW-6""-C1-0013-N";03351-ESP-001;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0026-N";C1;2;PW;CS;4600022667-001-03350-502CA-00070;2,948;;"03351-CT-6""-C3-0021-R3";38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0028-N";C1;2;PW;CS;4600022667-001-03350-502CA-00071;1,54;"03351-PW-2""-C1-0025-N";"03351-CT-6""-C3-0023-R3";38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0038-N";C1;2;PW;CS;4600022667-001-03350-502CA-00072;4,81;"03351-PW-6""-C1-0013-N";;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0039-N";C1;2;PW;CS;4600022667-001-03350-502CA-00073;9,53;"03351-PW-6""-C1-0013-N";03351-EST-001;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0044-N";C1;2;PW;CS;4600022667-001-03350-502CA-00074;3,48;"03351-PW-6""-C1-0013-N";;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0048-N";C1;2;PW;CS;4600022667-001-03350-502CA-00075;12,192;"03351-PW-6""-C1-0013-N";;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0049-N";C1;2;PW;CS;4600022667-001-03350-502CA-00076;13,685;;03351-ESP-001;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0051-N";C1;2;PW;CS;4600022667-001-03350-502CA-00077;0,51;"03351-PW-2""-C1-0025-N";"03351-CT-6""-C3-0005-R3";38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0052-N";C1;2;PW;CS;4600022667-001-03350-502CA-00078;0,5;"03351-PW-2""-C1-0048-N";HV-1043;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0053-N";C1;2;PW;CS;4600022667-001-03350-502CA-00079;0,6;"03351-PW-2""-C1-0049-N";"03351-CT-6""-C3-0007-R3";38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0054-N";C1;2;PW;CS;4600022667-001-03350-502CA-00080;32,34;"03351-PW-6""-C1-0013-N";;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0055-N";C1;2;PW;CS;4600022667-001-03350-502CA-00081;0,92;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0056-N";C1;2;PW;CS;4600022667-001-03350-502CA-00082;28,82;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-GW-2""-C1-0078-N";C1;2;PW;CS;4600022667-001-03350-502CA-00083;0,75;;A PISO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0081-N";C1;2;PW;CS;4600022667-001-03350-502CA-00084;1,368;"03351-PW-2""-C1-0082-N";"03351-CT-6""-C3-0030-R3";38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0082-N";C1;2;PW;CS;4600022667-001-03350-502CA-00085;1,65;"03351-PW-6""-C1-0013-N";"03351-CT-6""-C3-0030-R3";38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0083-N";C1;2;PW;CS;4600022667-001-03350-502CA-00086;1,8;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0084-N";C1;2;PW;CS;4600022667-001-03350-502CA-00087;2,2;"03351-PW-6""-C1-0013-N";;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0085-N";C1;2;PW;CS;4600022667-001-03350-502CA-00088;2,5;"03351-PW-2""-C1-0049-N";"03351-CT-6""-C3-0046-R3";38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0088-N";C1;2;PW;CS;4600022667-001-03350-502CA-00089;5,448;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0089-N";C1;2;PW;CS;4600022667-001-03350-502CA-00090;0,64;;;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0090-N";C1;2;PW;CS;4600022667-001-03350-502CA-00091;6,764;"03351-PW-6""-C1-0013-N";ESTACION SERVICIO;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0091-N";C1;2;PW;CS;4600022667-001-03350-502CA-00092;3,63;"03351-PW-2""-C1-0025-N";;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0092-N";C1;2;PW;CS;4600022667-001-03350-502CA-00093;2,64;"03351-PW-2""-C1-0048-N";;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-2""-C1-0093-N";C1;2;PW;CS;4600022667-001-03350-502CA-00094;2,4;BY PASS ;HV-1026;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-4""-C1-0016-N";C1;4;PW;CS;4600022667-001-03350-502CA-00095;20,3;"03351-PW-6""-C1-0013-N";03351-ESP-001;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-4""-C1-0094-N";C1;4;PW;CS;4600022667-001-03350-502CA-00096;3,36;BY PASS ;HV-1027;38;20;Servicio;EPC-9;;N/A;N/A;
"03351-PW-6""-C1-0013-N";C1;6;PW;CS;4600022667-001-03350-502CA-00097;180,717;TIE IN 03351-003;;38;20;Servicio;EPC-9;;N/A;N/A;
03351-RW-250-H1-0009-N;H1;10;RW;HDPE;4600022667-001-03350-502CA-00098;6,96;03351-RW-450-H1-0008-N;POZO DE TRABAJO;20;6,3;Servicio;N/A;;N/A;N/A;
03351-RW-250-H1-0010-N;H1;10;RW;HDPE;4600022667-001-03350-502CA-00099;9,9;03351-RW-250-H1-0011-N;POZO DECANTADOR 1;20;6,3;Servicio;N/A;;N/A;N/A;
03351-RW-250-H1-0011-N;H1;10;RW;HDPE;4600022667-001-03350-502CA-00100;14,0272;03351-RW-450-H1-0008-N;POZO DECANTADOR 2;20;6,3;Servicio;N/A;;N/A;N/A;
03351-RW-450-H1-0008-N;H1;18;RW;HDPE;4600022667-001-03350-502CA-00101;33,991;03351-ESP-001;03351-RW-250-H1-0011-N;20;6,3;Servicio;N/A;;N/A;N/A;
TIE-IN 03351-002;H2;8;CT;HDPE;;0;;;20;10,2;Servicio;N/A;;N/A;N/A;
TIE-IN 03351-003;C1;6;PW;CS;;0;;;38;20;Servicio;EPC-9;;N/A;N/A;
TIE-IN 03351-004;H2;8;CT;HDPE;;0;;;20;10,2;Servicio;N/A;;N/A;N/A;
TIE-IN-03351-005;G1;8;IA;AG;;0;;;38;20;Servicio;EPC-9;;N/A;N/A;
TIE-IN-03351-006;G1;8;IA;AG;;0;;;38;20;Servicio;EPC-9;;N/A;N/A;
TIE-IN-03351-007;C5;8;FP;CS;;0;;;40;12,3;Servicio;EPC-9;;N/A;N/A;
